name	admix.pop	latitude	longitude	ploidy_man_curated
SRR7119548	SRR7119545	61.62	8.4	2
SRR7119547	SRR7119545	61.62	8.4	2
SRR7119532	SRR7119545	61.62	8.4	2
SRR7119543	SRR7119545	61.62	8.4	2
SRR7119546	SRR7119545	61.62	8.4	2
SRR7119544	SRR7119545	61.62	8.4	2
SRR5124977	SRR5124977	61.6333333	8.4	2
SRR5124997	SRR5124977	61.6333333	8.4	2
SRR5124998	SRR5124977	61.6333333	8.4	2
SRR5124983	SRR5124977	61.6333333	8.4	2
SRR5124999	SRR5124977	61.6333333	8.4	2
SRR5124985	SRR5124977	61.6333333	8.4	2
SRR7119539	SRR7119539	61.84	8.57	2
SRR7119535	SRR7119539	61.84	8.57	2
SRR7119537	SRR7119539	61.84	8.57	2
SRR7119533	SRR7119539	61.84	8.57	2
SRR7119536	SRR7119539	61.84	8.57	2
SRR7119540	SRR7119539	61.84	8.57	2
SRR7119534	SRR7119539	61.84	8.57	2
SRR7119541	SRR7119539	61.84	8.57	2
SRR7119527	SRR7119527	62.44	8.9	2
SRR7119531	SRR7119527	62.44	8.9	2
SRR7119530	SRR7119527	62.44	8.9	2
SRR7119529	SRR7119527	62.44	8.9	2
SRR7119528	SRR7119527	62.44	8.9	2
SRR7119526	SRR7119526	62.66	8.62	2
SRR7119524	SRR7119526	62.66	8.62	2
SRR7119542	SRR7119526	62.66	8.62	2
SRR7119525	SRR7119526	62.66	8.62	2
SRR7119523	SRR7119526	62.66	8.62	2
SRR9319648	SRR9319648	62.74	9.3	2
SRR9319641	SRR9319648	62.74	9.3	2
SRR9319646	SRR9319648	62.74	9.3	2
SRR9319645	SRR9319648	62.74	9.3	2
SRR9319644	SRR9319648	62.74	9.3	2
SRR9319647	SRR9319648	62.74	9.3	2
SRR9319649	SRR9319648	62.74	9.3	2
SRR9319643	SRR9319648	62.74	9.3	2
SRR9319642	SRR9319648	62.74	9.3	2
SRR2040795	SRR2040795	62.9166667	34.41666667	2
SRR5124980	SRR2040795	62.9166667	34.41666667	2
SRR5124974	SRR2040795	62.9166667	34.41666667	2
SRR5125001	SRR2040795	62.9166667	34.41666667	2
SRR5124993	SRR2040795	62.9166667	34.41666667	2
SRR2040769	SRR2040769	63.1	-69.72	2
MW0079473_1	MW0079473_1	63.13195	144.676274	2
SRR5124978	SRR5124978	63.2166667	18.95	2
SRR5124987	SRR5124978	63.2166667	18.95	2
SRR5125002	SRR5124978	63.2166667	18.95	2
SRR5124996	SRR5124978	63.2166667	18.95	2
SRR5124982	SRR5124978	63.2166667	18.95	2
SRR5124995	SRR5124978	63.2166667	18.95	2
MW0079496	MW0079496	63.264569	143.230643	2
MW0079493_1	MW0079493_1	63.3508974	125.719986	2
MW0079895	MW0079895	66.447954	72.941734	2
WS_1.3-1_4n	WS	66.53735	34.50509	4
WS_1.1-2_4n	WS	66.53735	34.50509	4
WS_1.2-1_4n	WS	66.53735	34.50509	4
WS_1.1-1_4n	WS	66.53735	34.50509	4
WS_1.6-1_4n	WS	66.53735	34.50509	4
WS_1.7-1_4n	WS	66.53735	34.50509	4
WS_1.5-1_4n	WS	66.53735	34.50509	4
WS_1.4-2_4n	WS	66.53735	34.50509	4
WS_1.6-2_4n	WS	66.53735	34.50509	4
WS_1.5-2_4n	WS	66.53735	34.50509	4
WS_1.4-1_4n	WS	66.53735	34.50509	4
WS_1.2-2_4n	WS	66.53735	34.50509	4
WS_1.3-2_4n	WS	66.53735	34.50509	4
WS_1.7-2_4n	WS	66.53735	34.50509	4
MW0374083_4_4n	MW0374083_4n	66.53767	34.502	4
MW0374083_6_4n	MW0374083_4n	66.53767	34.502	4
MW0374085_11_4n	MW0374085_1_4n	66.53767	34.502	4
MW0374083_4n	MW0374083_4n	66.53767	34.502	4
MW0374085_1_4n	MW0374085_1_4n	66.53767	34.502	4
MW0374087_5_4n	MW0374087_4n	66.5378771	34.4919205	4
MW0374087_4n	MW0374087_4n	66.5378771	34.4919205	4
MW0079585	MW0079585	66.628932	72.924427	2
NT8.4-5	NT8	66.70192	123.30781	2
NT8.3-4	NT8	66.70192	123.30781	2
NT8_5_1	NT8	66.70192	123.30781	2
NT8_4_1	NT8	66.70192	123.30781	2
NT8_1_1	NT8	66.70192	123.30781	2
NT8_2_1	NT8	66.70192	123.30781	2
NT8_3_1	NT8	66.70192	123.30781	2
SRR2040805_4n	SRR2040805_4n	66.9	58.55	4
PU_1mix-2_4n	PU1	66.90776	65.69919	4
PU_1mix-1_4n	PU1	66.90776	65.69919	4
PU_2mix-2_4n	PU2	66.90819	65.6873	4
PU_2mix-1_4n	PU2	66.90819	65.6873	4
PU_4mix-1_4n	PU4	66.93139	65.59633	4
PU_4mix-2_4n	PU4	66.93139	65.59633	4
PU_3mix-2_4n	PU3	66.93358	65.6449	4
PU_3mix-1_4n	PU3	66.93358	65.6449	4
PU_5mix-1_4n	PU5	66.94763	65.52093	4
PU_5mix-2_4n	PU5	66.94763	65.52093	4
MW0079589_9_4n	MW0079589	66.9574895	65.3775787	4
MW0079589_4n	MW0079589	66.9574895	65.3775787	4
MW0079589_11_4n	MW0079589	66.9574895	65.3775787	4
MW0079589_8_4n	MW0079589	66.9574895	65.3775787	4
PU_7.1-1_4n	PU7	67.00682	65.08945	4
PU_7.2-2_4n	PU7	67.00682	65.08945	4
PU_7mix-1_4n	PU7	67.00682	65.08945	4
PU_7.2-1_4n	PU7	67.00682	65.08945	4
PU_7mix-2_4n	PU7	67.00682	65.08945	4
PU_7.1-2_4n	PU7	67.00682	65.08945	4
PU_6.1-2_4n	PU6	67.02145	65.13496	4
PU_6.5-1_4n	PU6	67.02145	65.13496	4
PU_6.7-2_4n	PU6	67.02145	65.13496	4
PU_6.2-1_4n	PU6	67.02145	65.13496	4
PU_6mix-1_4n	PU6	67.02145	65.13496	4
PU_6.8-2_4n	PU6	67.02145	65.13496	4
PU_6mix-2_4n	PU6	67.02145	65.13496	4
PU_6.5-2_4n	PU6	67.02145	65.13496	4
PU_6.2-2_4n	PU6	67.02145	65.13496	4
PU_6.4-2_4n	PU6	67.02145	65.13496	4
PU_6.1-1_4n	PU6	67.02145	65.13496	4
PU_6.7-1_4n	PU6	67.02145	65.13496	4
PU_6.8-1_4n	PU6	67.02145	65.13496	4
PU_6.6-2_4n	PU6	67.02145	65.13496	4
PU_6.4-1_4n	PU6	67.02145	65.13496	4
PU_6.3-2_4n	PU6	67.02145	65.13496	4
PU_6.6-1_4n	PU6	67.02145	65.13496	4
PU_6.3-1_4n	PU6	67.02145	65.13496	4
MW0079582	MW0079582	67.1670242	73.9422798	2
MW0079587_4	MW0079587_6	67.495475	78.706424	2
MW0079587_6	MW0079587_6	67.495475	78.706424	2
MW0374102-2_4n	MW0374102-2_4n	68.1229941	66.1201859	4
TE_3.3-1	TE3	68.72591	77.74032	2
TE_3.9-2	TE3	68.72591	77.74032	2
TE_3.2-1	TE3	68.72591	77.74032	2
TE_3.5-2	TE3	68.72591	77.74032	2
TE_3.5-1	TE3	68.72591	77.74032	2
TE_3.7-1	TE3	68.72591	77.74032	2
TE_3.9-1	TE3	68.72591	77.74032	2
TE_3.1-2	TE3	68.72591	77.74032	2
TE_3.8-1	TE3	68.72591	77.74032	2
TE_3.6-1	TE3	68.72591	77.74032	2
TE_3.3-2	TE3	68.72591	77.74032	2
TE_3.2-2	TE3	68.72591	77.74032	2
TE_3.7-2	TE3	68.72591	77.74032	2
TE_3.1-1	TE3	68.72591	77.74032	2
TE_3.4-2	TE3	68.72591	77.74032	2
TE_3.8-2	TE3	68.72591	77.74032	2
TE_3.6-2	TE3	68.72591	77.74032	2
TE_3.4-1	TE3	68.72591	77.74032	2
NT1_3_1	NT1	68.78978	124.02293	selfer
NT1_2_1	NT1	68.78978	124.02293	selfer
NT1_1_1	NT1	68.78978	124.02293	selfer
TE_4.11-2	TE4	68.79245	77.68399	2
TE_4.7-1	TE4	68.79245	77.68399	2
TE_4.6-2	TE4	68.79245	77.68399	2
TE_4.5-1	TE4	68.79245	77.68399	2
TE_4.2-1	TE4	68.79245	77.68399	2
TE_4.3-1	TE4	68.79245	77.68399	2
TE_4.11-1	TE4	68.79245	77.68399	2
TE_4.5-2	TE4	68.79245	77.68399	2
TE_4.6-1	TE4	68.79245	77.68399	2
TE_4.2-2	TE4	68.79245	77.68399	2
TE_4.8-2	TE4	68.79245	77.68399	2
TE_4.3-2	TE4	68.79245	77.68399	2
TE_4.8-1	TE4	68.79245	77.68399	2
TE_4.4-2	TE4	68.79245	77.68399	2
TE_4.9-2	TE4	68.79245	77.68399	2
TE_4.10-2	TE4	68.79245	77.68399	2
TE_4.9-1	TE4	68.79245	77.68399	2
TE_4.10-1	TE4	68.79245	77.68399	2
TE_4.4-1	TE4	68.79245	77.68399	2
TE_7.2-1	TE7	68.79345	77.78109	2
TE_7.3-2	TE7	68.79345	77.78109	2
TE_7.3-1	TE7	68.79345	77.78109	2
TE_7mix-1	TE7	68.79345	77.78109	2
TE_7.5-2	TE7	68.79345	77.78109	2
TE_7.9-1	TE7	68.79345	77.78109	2
TE_7.1-1	TE7	68.79345	77.78109	2
TE_7.8-1	TE7	68.79345	77.78109	2
TE_7.4-2	TE7	68.79345	77.78109	2
TE_7.5-1	TE7	68.79345	77.78109	2
TE_7.2-2	TE7	68.79345	77.78109	2
TE_7.7-2	TE7	68.79345	77.78109	2
TE_7.4-1	TE7	68.79345	77.78109	2
TE_7.8-2	TE7	68.79345	77.78109	2
TE_7.1-2	TE7	68.79345	77.78109	2
TE_7.6-1	TE7	68.79345	77.78109	2
TE_7.7-1	TE7	68.79345	77.78109	2
TE_7.9-2	TE7	68.79345	77.78109	2
TE_7mix-2	TE7	68.79345	77.78109	2
TE_7.6-2	TE7	68.79345	77.78109	2
TE_6.1-2	TE6	68.79633	77.75588	2
TE_6.2-1	TE6	68.79633	77.75588	2
TE_6.2-2	TE6	68.79633	77.75588	2
TE_6.1-1	TE6	68.79633	77.75588	2
TE_5.5-1	TE5	68.79682	77.68553	2
TE_5.1-2	TE5	68.79682	77.68553	2
TE_5.9-1	TE5	68.79682	77.68553	2
TE_5.10-2	TE5	68.79682	77.68553	2
TE_5.7-2	TE5	68.79682	77.68553	2
TE_5.8-2	TE5	68.79682	77.68553	2
TE_5.6-1	TE5	68.79682	77.68553	2
TE_5.3-2	TE5	68.79682	77.68553	2
TE_5.6-2	TE5	68.79682	77.68553	2
TE_5.10-1	TE5	68.79682	77.68553	2
TE_5.3-1	TE5	68.79682	77.68553	2
TE_5.2-2	TE5	68.79682	77.68553	2
TE_5.7-1	TE5	68.79682	77.68553	2
TE_5.5-2	TE5	68.79682	77.68553	2
TE_5.4-1	TE5	68.79682	77.68553	2
TE_5.8-1	TE5	68.79682	77.68553	2
TE_5.1-1	TE5	68.79682	77.68553	2
TE_5.9-2	TE5	68.79682	77.68553	2
TE_5.2-1	TE5	68.79682	77.68553	2
TE_5.4-2	TE5	68.79682	77.68553	2
SRR2040806	SRR2040806	68.8	160.3	selfer
MW0079584_4n	MW0079584_4n	68.855228	64.758948	4
TE_8.8-1	TE8	68.86441	77.6911	2
TE_8.3-1	TE8	68.86441	77.6911	2
TE_8.6-2	TE8	68.86441	77.6911	2
TE_8.9-2	TE8	68.86441	77.6911	2
TE_8.10-2	TE8	68.86441	77.6911	2
TE_8.5-1	TE8	68.86441	77.6911	2
TE_8.2-1	TE8	68.86441	77.6911	2
TE_8.2-2	TE8	68.86441	77.6911	2
TE_8.7-2	TE8	68.86441	77.6911	2
